case,$\eta$,input,$E_2(h_{\mathrm{or}})$,$E_2(h_{\mathrm{rm}})$,$E_2(\lambda_{\mathrm{or}})$,$E_2(\lambda_{\mathrm{M}})$,"$E_2(\lambda_{\mathrm{M}})$, projected"
C1,0.001,projected input,0.04380474938783164,0.32570385111141964,0.0017512637743169802,0.001911877769299144,0.0018182442651625242
C1,0.001,raw input,0.04380474938783164,0.32570385111141964,0.0017512637743169802,0.001911877769299144,0.0018182442651625242
C1,0.005,projected input,0.04870599486458461,0.08468254716789668,0.005235752003025812,0.0073825123539683355,0.006786183479302644
C1,0.005,raw input,0.04870599486458461,0.08468254716789668,0.005235752003025812,0.0073825123539683355,0.006786183479302644
C1,0.01,projected input,0.06095083940622536,0.06095083940622536,0.008437701417022948,0.013968565317473727,0.012690275933808788
C1,0.01,raw input,0.06095083940622536,0.06095083940622536,0.008437701417022948,0.013968565317473727,0.012690275933808788
B,0.001,projected input,0.028358634535873842,0.02840263269129835,0.00365982253947542,0.0038275305266002604,0.0037054201366648683
B,0.001,raw input,0.028358634535873842,0.02840263269129835,0.0039192239217475675,0.00399374803808314,0.003711326962778036
B,0.005,projected input,0.03594390363360206,0.10033179023334289,0.010897171300728876,0.014324009784821541,0.014077003725397094
B,0.005,raw input,0.03594390363360206,0.10033179023334289,0.011378811011208547,0.012979464604694305,0.01231744768264686
B,0.01,projected input,0.03834591351019005,0.08920268148858046,0.017272189745587186,0.027009112527236055,0.0266238182595805
B,0.01,raw input,0.03834591351019005,0.17582694410054422,0.01801302151285233,0.02308793364446798,0.02202399987099376
