case,$\eta$,input,$\Delta$,95\% CI,favoring particle
C1,0.001,projected input,0.3237919733421205,"[0.3005, 0.3471]",0.0
C1,0.001,raw input,0.3237919733421205,"[0.3005, 0.3471]",0.0
C1,0.005,projected input,0.07730003481392834,"[0.0261, 0.1285]",0.0
C1,0.005,raw input,0.07730003481392834,"[0.0261, 0.1285]",0.0
C1,0.01,projected input,0.046982274088751635,"[0.0440, 0.0500]",0.0
C1,0.01,raw input,0.046982274088751635,"[0.0440, 0.0500]",0.0
B,0.001,projected input,0.02457510216469809,"[0.0229, 0.0263]",0.0
B,0.001,raw input,0.024408884653215206,"[0.0227, 0.0261]",0.0
B,0.005,projected input,0.08600778044852135,"[0.0760, 0.0960]",0.0
B,0.005,raw input,0.08735232562864859,"[0.0774, 0.0973]",0.0
B,0.01,projected input,0.06219356896134439,"[0.0294, 0.0950]",0.0
B,0.01,raw input,0.15273901045607624,"[0.1344, 0.1711]",0.0
