case,$\eta$,input,"particle, residual-matched, $\tau=1$",endpoint selections,"Tikhonov, residual, $\tau=1$ (median)",Tikhonov endpoint selections
C1,0.001,projected input,0.32570385111141964,0,0.0037026555185442,8
C1,0.001,raw input,0.32570385111141964,0,0.0037026555185442,8
C1,0.005,projected input,0.08468254716789668,23,0.0090703882263666,8
C1,0.005,raw input,0.08468254716789668,23,0.0090703882263666,8
C1,0.01,projected input,0.06095083940622536,25,0.0142790274011804,8
C1,0.01,raw input,0.06095083940622536,25,0.0142790274011804,8
B,0.001,projected input,0.02840263269129835,0,0.0037493160903333,0
B,0.001,raw input,0.02840263269129835,0,0.0061664323524002,6
B,0.005,projected input,0.10033179023334289,0,0.011580025788566,0
B,0.005,raw input,0.10033179023334289,0,0.016490118879249,6
B,0.01,projected input,0.17582694410054422,0,0.0197338151903194,0
B,0.01,raw input,0.17582694410054422,0,0.024269264331891,6
