eta,seed,delta_nominal,particle_oracle_factor,E2_particle_oracle,tik_oracle_lambda,E2_tik_oracle,particle_disc_factor_tau1.0,E2_particle_disc_tau1.0,particle_note_tau1.0,tik_disc_lambda_tau1.0,E2_tik_disc_tau1.0,particle_disc_factor_tau1.2,E2_particle_disc_tau1.2,particle_note_tau1.2,tik_disc_lambda_tau1.2,E2_tik_disc_tau1.2
0.001,0,0.0024151877656439966,6.0,0.025713833187156,0.001,0.0031599374457322105,4.0,0.0408099634007403,nonmonotonic,0.00014047840189346776,0.01224547776434525,4.0,0.0408099634007403,nonmonotonic,0.0010453732601007077,0.003107171525328849
0.001,1,0.0024151877656439966,4.0,0.0177455603954025,0.001,0.0020115307115354713,4.0,0.0177455603954025,nonmonotonic,0.00047689562675648115,0.002249088500796649,4.0,0.0177455603954025,nonmonotonic,0.0010860914942674809,0.0020533612488508298
0.001,2,0.0024151877656439966,4.0,0.0255038790436529,0.001,0.003665056078864937,4.0,0.0255038790436529,nonmonotonic,0.0001071644587686854,0.008517914696864918,4.0,0.0255038790436529,nonmonotonic,0.0010388564806374633,0.003629635260857058
0.001,3,0.0024151877656439966,6.0,0.0254828746312898,0.001,0.003662670814542083,4.0,0.0302149617703616,nonmonotonic,0.0001275588503584152,0.0065198912038794896,4.0,0.0302149617703616,nonmonotonic,0.0010443365839369635,0.003640545834347016
0.001,4,0.0024151877656439966,6.0,0.0256996674317243,0.001,0.004420057671433255,4.0,0.032802476658454,nonmonotonic,0.00013730056854450453,0.009100126478841283,4.0,0.032802476658454,nonmonotonic,0.0010458655882813754,0.0043718281860993715
0.001,5,0.0024151877656439966,6.0,0.0256790202553058,0.001,0.00392944995601417,4.0,0.0303772098824001,nonmonotonic,0.00026622876967081506,0.005708371634884925,4.0,0.0303772098824001,nonmonotonic,0.0010665358350669884,0.003912484172244457
0.001,6,0.0024151877656439966,6.0,0.0253775549832608,0.001,0.004308167500195176,4.0,0.0314350359903782,nonmonotonic,0.00011025689320097288,0.011339124681803483,4.0,0.0314350359903782,nonmonotonic,0.0010391791469432597,0.004272865934702733
0.001,7,0.0024151877656439966,6.0,0.0257121571360717,0.001,0.004515669263127364,4.0,0.0310565217084735,nonmonotonic,0.000477652077931824,0.00653124749380384,4.0,0.0310565217084735,nonmonotonic,0.0010854826771354075,0.004376155017979679
0.001,8,0.0024151877656439966,6.0,0.0255725884664395,0.001,0.005485410637432807,4.0,0.0325211807437185,nonmonotonic,6.026148432718821e-05,0.02540041207018723,4.0,0.0325211807437185,nonmonotonic,0.0010325935567281693,0.005407772515886694
0.001,9,0.0024151877656439966,6.0,0.0257004334280645,0.001,0.005402763828080573,4.0,0.0312149243313583,nonmonotonic,0.00015250374522589037,0.00855320248651713,4.0,0.0312149243313583,nonmonotonic,0.0010490204923440916,0.005323816813803022
0.001,10,0.0024151877656439966,4.0,0.0260562724930799,0.001,0.00412443349388155,4.0,0.0260562724930799,nonmonotonic,0.0002712080596535235,0.00627521979521846,4.0,0.0260562724930799,nonmonotonic,0.0010671004210597074,0.004062468108173834
0.001,11,0.0024151877656439966,6.0,0.0255639485549746,0.001,0.0037467321966605585,4.0,0.0259893233531566,nonmonotonic,0.0002281431378446662,0.007754734994867671,4.0,0.0259893233531566,nonmonotonic,0.0010610079190882043,0.0036613221226955406
0.001,12,0.0024151877656439966,6.0,0.0257574153238359,0.001,0.0029619892463900385,4.0,0.0350930489824071,nonmonotonic,0.0001286028725752047,0.005729324105510515,4.0,0.0350930489824071,nonmonotonic,0.0010445941469830855,0.0029501477329776362
0.001,13,0.0024151877656439966,6.0,0.0254784810877109,0.001,0.003409985775328897,4.0,0.0331344975451868,nonmonotonic,1e-08,1.010816263603861,4.0,0.0331344975451868,nonmonotonic,0.0010187278395005952,0.00338864978431793
0.001,14,0.0024151877656439966,6.0,0.0257969328493646,0.001,0.0027026785750340425,4.0,0.0287581399877816,nonmonotonic,0.00026635895034213464,0.0051700040683063725,4.0,0.0287581399877816,nonmonotonic,0.0010665228520469543,0.0026847877392373164
0.001,15,0.0024151877656439966,6.0,0.0258753774430053,0.001,0.004304384504173926,4.0,0.0348073515605307,nonmonotonic,0.00014392297272955136,0.009042344566291972,4.0,0.0348073515605307,nonmonotonic,0.0010471381395014026,0.004229888326154544
0.001,16,0.0024151877656439966,6.0,0.0257241680498964,0.001,0.0025625453467903454,4.0,0.0367175857076468,nonmonotonic,0.00016723385096648817,0.006924029340862887,4.0,0.0367175857076468,nonmonotonic,0.0010518828605515602,0.0025319341842475235
0.001,17,0.0024151877656439966,4.0,0.0253945908917208,0.001,0.005134991970172613,4.0,0.0253945908917208,nonmonotonic,0.00015580997939940313,0.009782964508950833,4.0,0.0253945908917208,nonmonotonic,0.0010492880544164048,0.005059968658830461
0.001,18,0.0024151877656439966,6.0,0.0256825336986731,0.001,0.005110155955701171,4.0,0.0372629346876568,nonmonotonic,1e-08,0.9652502010196407,4.0,0.0372629346876568,nonmonotonic,0.0010267524630583967,0.005044209122891307
0.001,19,0.0024151877656439966,4.0,0.0235222837010979,0.001,0.0025736951252786737,4.0,0.0235222837010979,nonmonotonic,0.00018026128957388077,0.0047065170895923755,4.0,0.0235222837010979,nonmonotonic,0.0010546581337710478,0.0025588772110935465
0.001,20,0.0024151877656439966,4.0,0.0240150636542079,0.001,0.004511281547247024,4.0,0.0240150636542079,nonmonotonic,1e-08,0.7405606794078697,4.0,0.0240150636542079,nonmonotonic,0.0010218522319972371,0.004482600192655334
0.001,21,0.0024151877656439966,6.0,0.0254391593899163,0.001,0.0033400888875985777,4.0,0.0257966737066152,nonmonotonic,0.0006259126497010514,0.003769854265576075,4.0,0.0257966737066152,nonmonotonic,0.001095407361162374,0.0032936157035807407
0.001,22,0.0024151877656439966,6.0,0.0256453893905423,0.001,0.004248184271617841,4.0,0.0356057306133577,nonmonotonic,0.0001452960234668579,0.009362841533943289,4.0,0.0356057306133577,nonmonotonic,0.0010472362810044925,0.004186248819641813
0.001,23,0.0024151877656439966,6.0,0.0256546006799864,0.001,0.003962108169851837,4.0,0.0434829572214481,nonmonotonic,1e-08,1.2380154258123768,4.0,0.0434829572214481,nonmonotonic,0.0010325024336349424,0.003937904408675166
0.001,24,0.0024151877656439966,4.0,0.0247097215528457,0.001,0.004011144983961168,4.0,0.0247097215528457,nonmonotonic,2.8181677557041316e-05,0.014284213644957373,4.0,0.0247097215528457,nonmonotonic,0.001036088072601756,0.00399259804172194
