method,eta,seed,rel_L2
smoothed_log_bw4,0.0,0,0.011973512362643277
smoothed_log_bw6,0.0,0,0.02555810484679168
fd_grid_ratio_bw4,0.0,0,0.013265312469764961
tikhonov_optimal,0.0,0,0.0010325001521152152
smoothed_log_bw4,0.001,0,0.0408099634007403
smoothed_log_bw6,0.001,0,0.025713833187156098
fd_grid_ratio_bw4,0.001,0,0.4630438671039154
tikhonov_optimal,0.001,0,0.0031599374457322105
smoothed_log_bw4,0.001,1,0.0177455603954025
smoothed_log_bw6,0.001,1,0.02551336523689257
fd_grid_ratio_bw4,0.001,1,0.46183970593729146
tikhonov_optimal,0.001,1,0.0020115307115354713
smoothed_log_bw4,0.001,2,0.02550387904365294
smoothed_log_bw6,0.001,2,0.025712428234030794
fd_grid_ratio_bw4,0.001,2,0.4403195513377412
tikhonov_optimal,0.001,2,0.003665056078864937
smoothed_log_bw4,0.001,3,0.03021496177036169
smoothed_log_bw6,0.001,3,0.025482874631289877
fd_grid_ratio_bw4,0.001,3,0.4734495181374012
tikhonov_optimal,0.001,3,0.003662670814542083
smoothed_log_bw4,0.001,4,0.03280247665845404
smoothed_log_bw6,0.001,4,0.02569966743172437
fd_grid_ratio_bw4,0.001,4,0.4827746166696715
tikhonov_optimal,0.001,4,0.004420057671433255
smoothed_log_bw4,0.001,5,0.030377209882400103
smoothed_log_bw6,0.001,5,0.02567902025530586
fd_grid_ratio_bw4,0.001,5,0.33941080512822697
tikhonov_optimal,0.001,5,0.00392944995601417
smoothed_log_bw4,0.001,6,0.03143503599037827
smoothed_log_bw6,0.001,6,0.0253775549832608
fd_grid_ratio_bw4,0.001,6,0.4532027203468121
tikhonov_optimal,0.001,6,0.004308167500195176
smoothed_log_bw4,0.001,7,0.031056521708473506
smoothed_log_bw6,0.001,7,0.025712157136071716
fd_grid_ratio_bw4,0.001,7,0.4231344895672452
tikhonov_optimal,0.001,7,0.004515669263127364
smoothed_log_bw4,0.001,8,0.032521180743718514
smoothed_log_bw6,0.001,8,0.025572588466439505
fd_grid_ratio_bw4,0.001,8,0.42536848667226457
tikhonov_optimal,0.001,8,0.005485410637432807
smoothed_log_bw4,0.001,9,0.031214924331358307
smoothed_log_bw6,0.001,9,0.02570043342806451
fd_grid_ratio_bw4,0.001,9,0.5220735043189393
tikhonov_optimal,0.001,9,0.005402763828080573
smoothed_log_bw4,0.001,10,0.02605627249307997
smoothed_log_bw6,0.001,10,0.026159391395196338
fd_grid_ratio_bw4,0.001,10,0.5098718076995639
tikhonov_optimal,0.001,10,0.00412443349388155
smoothed_log_bw4,0.001,11,0.025989323353156648
smoothed_log_bw6,0.001,11,0.025563948554974635
fd_grid_ratio_bw4,0.001,11,0.54306541696663
tikhonov_optimal,0.001,11,0.0037467321966605585
smoothed_log_bw4,0.001,12,0.03509304898240717
smoothed_log_bw6,0.001,12,0.025757415323835933
fd_grid_ratio_bw4,0.001,12,0.4987754014414264
tikhonov_optimal,0.001,12,0.0029619892463900385
smoothed_log_bw4,0.001,13,0.033134497545186894
smoothed_log_bw6,0.001,13,0.025478481087710968
fd_grid_ratio_bw4,0.001,13,0.3676447991417051
tikhonov_optimal,0.001,13,0.003409985775328897
smoothed_log_bw4,0.001,14,0.028758139987781612
smoothed_log_bw6,0.001,14,0.0257969328493646
fd_grid_ratio_bw4,0.001,14,0.5591109603405718
tikhonov_optimal,0.001,14,0.0027026785750340425
smoothed_log_bw4,0.001,15,0.034807351560530796
smoothed_log_bw6,0.001,15,0.02587537744300539
fd_grid_ratio_bw4,0.001,15,0.5237253219077135
tikhonov_optimal,0.001,15,0.004304384504173926
smoothed_log_bw4,0.001,16,0.03671758570764683
smoothed_log_bw6,0.001,16,0.025724168049896426
fd_grid_ratio_bw4,0.001,16,0.4279177603900494
tikhonov_optimal,0.001,16,0.0025625453467903454
smoothed_log_bw4,0.001,17,0.02539459089172085
smoothed_log_bw6,0.001,17,0.025439926177151916
fd_grid_ratio_bw4,0.001,17,0.4814477106203008
tikhonov_optimal,0.001,17,0.005134991970172613
smoothed_log_bw4,0.001,18,0.037262934687656867
smoothed_log_bw6,0.001,18,0.025682533698673113
fd_grid_ratio_bw4,0.001,18,0.5077154329308129
tikhonov_optimal,0.001,18,0.005110155955701171
smoothed_log_bw4,0.001,19,0.02352228370109798
smoothed_log_bw6,0.001,19,0.02544319078289873
fd_grid_ratio_bw4,0.001,19,0.4129587123231312
tikhonov_optimal,0.001,19,0.0025736951252786737
smoothed_log_bw4,0.001,20,0.02401506365420798
smoothed_log_bw6,0.001,20,0.025831249714005414
fd_grid_ratio_bw4,0.001,20,0.5753662943053206
tikhonov_optimal,0.001,20,0.004511281547247024
smoothed_log_bw4,0.001,21,0.025796673706615206
smoothed_log_bw6,0.001,21,0.02543915938991631
fd_grid_ratio_bw4,0.001,21,0.3717409227009571
tikhonov_optimal,0.001,21,0.0033400888875985777
smoothed_log_bw4,0.001,22,0.035605730613357714
smoothed_log_bw6,0.001,22,0.02564538939054237
fd_grid_ratio_bw4,0.001,22,0.45523265444207006
tikhonov_optimal,0.001,22,0.004248184271617841
smoothed_log_bw4,0.001,23,0.04348295722144819
smoothed_log_bw6,0.001,23,0.025654600679986473
fd_grid_ratio_bw4,0.001,23,0.4376855167677236
tikhonov_optimal,0.001,23,0.003962108169851837
smoothed_log_bw4,0.001,24,0.02470972155284579
smoothed_log_bw6,0.001,24,0.025487076780351267
fd_grid_ratio_bw4,0.001,24,0.4127809540292917
tikhonov_optimal,0.001,24,0.004011144983961168
smoothed_log_bw4,0.005,0,0.17809704885803837
smoothed_log_bw6,0.005,0,0.02782479546988407
fd_grid_ratio_bw4,0.005,0,0.4934060745532023
tikhonov_optimal,0.005,0,0.014537314930388833
smoothed_log_bw4,0.005,1,0.06056069772820013
smoothed_log_bw6,0.005,1,0.025718236276067116
fd_grid_ratio_bw4,0.005,1,0.492680125656915
tikhonov_optimal,0.005,1,0.008732952436336271
smoothed_log_bw4,0.005,2,0.0917684727647626
smoothed_log_bw6,0.005,2,0.02683902285657333
fd_grid_ratio_bw4,0.005,2,0.4994527852682439
tikhonov_optimal,0.005,2,0.016967352701381205
smoothed_log_bw4,0.005,3,0.12047855440915231
smoothed_log_bw6,0.005,3,0.026396150562965834
