method,eta,n,mean,std,p10,p90
smoothed_log_bw4,0.0,1,0.011973512362643277,0.0,0.011973512362643277,0.011973512362643277
smoothed_log_bw4,0.001,25,0.030561115583347228,0.005937914686419209,0.024292926813663105,0.03704479509565285
smoothed_log_bw4,0.005,25,0.12347413068062864,0.02648761283717639,0.09438389948724889,0.1485833071387055
smoothed_log_bw4,0.01,25,0.22208279549970222,0.047266519887414586,0.1720498454399916,0.28284124619151757
smoothed_log_bw6,0.0,1,0.02555810484679168,0.0,0.02555810484679168,0.02555810484679168
smoothed_log_bw6,0.001,25,0.02564571057230984,0.0001734003488020122,0.02544123201945064,0.025817522968149088
smoothed_log_bw6,0.005,25,0.027325726254496262,0.0009430880242715746,0.026174345655394497,0.02801479370963129
smoothed_log_bw6,0.01,25,0.031887494763043825,0.0023136237467291194,0.029217868611943268,0.0342567740645967
fd_grid_ratio_bw4,0.0,1,0.013265312469764961,0.0,0.013265312469764961,0.013265312469764961
fd_grid_ratio_bw4,0.001,25,0.4627862772490711,0.05952491996782852,0.38815693523229094,0.5353293789430634
fd_grid_ratio_bw4,0.005,25,0.5254270616344118,0.0650251636711383,0.45695925227243755,0.5849452068326364
fd_grid_ratio_bw4,0.01,25,0.5524053122464581,0.07641451764018872,0.4794138464243678,0.6734495672591659
tikhonov_optimal,0.0,1,0.0010325001521152152,0.0,0.0010325001521152152,0.0010325001521152152
tikhonov_optimal,0.001,25,0.0038906045582658526,0.0009120771631511529,0.002625288505180821,0.005125057564384036
tikhonov_optimal,0.005,25,0.01604694469556921,0.0023954294254848896,0.012892229312119774,0.018503689541345136
tikhonov_optimal,0.01,25,0.020903728813946566,0.002493091650418024,0.017601072611956505,0.024459992886853778
