case,T,method,E2,bw,lam,forward_contrast,E_fwd
tent,0.05,exact_score,0.02456630213301957,4.0,,0.836839664001746,
tent,0.05,smoothed_log_bw2,0.10523304160842104,2.0,,0.836839664001746,
tent,0.05,smoothed_log_bw4,0.05872163803817643,4.0,,0.836839664001746,
tent,0.05,smoothed_log_bw6,0.05300769874701488,6.0,,0.836839664001746,
tent,0.05,tikhonov_optimal,0.009037881742905209,,1e-08,0.836839664001746,
tent,0.05,E_fwd_best_smoothed_log,,6.0,,0.836839664001746,0.022930398731379045
tophat,0.05,exact_score,0.12537752790425494,4.0,,0.9999978729760579,
tophat,0.05,smoothed_log_bw2,0.1425900017378052,2.0,,0.9999978729760579,
tophat,0.05,smoothed_log_bw4,0.16048321649574543,4.0,,0.9999978729760579,
tophat,0.05,smoothed_log_bw6,0.1775308259759511,6.0,,0.9999978729760579,
tophat,0.05,tikhonov_optimal,0.10910677497429172,,1e-08,0.9999978729760579,
tophat,0.05,E_fwd_best_smoothed_log,,2.0,,0.9999978729760579,0.007583536501750026
