test,n_grid,method_name,method_type,n_particles,globs_per_jump,recon_method,bandwidth_factor,bandwidth_used,completed,failure_step,failure_msg,step_zero_recon_error,relative_l2,l2_error,linf_error,forward_consistency_l2,wasserstein,mass_rel_error,total_variation,peak_value,peak_ratio,A_fit,mu_fit,sigma_fit,fit_success,fit_rmse,mass_candidate,mass_true,runtime_seconds
B,100,density_particle_oracle_deterministic,density_particle_oracle,1000,0,histogram,,,True,,,0.02154152395688721,0.016685791712336057,0.006283176790458674,0.018626261874194694,0.0016003897584317584,0.00025324423091317656,-1.8484449747102395e-05,2.0646208010536466,0.9926061543527146,0.9938729120797107,0.9969649427103016,0.3999946252609203,0.08023238572141338,True,0.006175750851002199,0.20052649582883125,0.2005302025192825,0.005037124967202544
B,100,density_particle_oracle_deterministic,density_particle_oracle,1000,0,kde,1.0,0.010101010101010102,True,,,0.006598712285281177,0.008641134606079907,0.003253892733181508,0.009725493383890726,0.0029355069309363116,0.000637084349830986,-1.8484441448535544e-05,1.9789003136314205,0.9889999395043592,0.9902620950026623,0.990227032117287,0.40000004249289584,0.08079064624579049,True,0.0006074490213521859,0.20052649583049537,0.2005302025192825,0.004769332997966558
B,100,density_particle_oracle_deterministic,density_particle_oracle,1000,0,kde,2.0,0.020202020202020204,True,,,0.019818607805929426,0.028129803553491033,0.010592516786409776,0.03207697047689351,0.007548046575449592,0.0021141562061641156,-1.8484449757206394e-05,1.9332969248223324,0.9666484624113564,0.9678820930952675,0.9677898072410743,0.40000005705448083,0.08266411825481136,True,0.00022513858206491252,0.20052649582882923,0.2005302025192825,0.0049779999535530806
B,100,density_particle_oracle_deterministic,density_particle_oracle,1000,0,kde,4.0,0.04040404040404041,True,,,0.06922690573688713,0.09678957986175944,0.03644693954174447,0.10838470939414468,0.024343780487061872,0.007771188192767267,-1.8893615417152003e-05,1.780674344794661,0.8903407234941052,0.8914769707218699,0.8912195982187665,0.4000001501117507,0.08976807990913517,True,8.640130002358356e-05,0.20052641377875657,0.2005302025192825,0.004923124972265214
B,100,density_particle_oracle_deterministic,density_particle_oracle,5000,0,histogram,,,True,,,0.00440979969827236,0.004551477590216598,0.0017138975992370183,0.004576210222905386,0.001485492859204023,0.0001720973846204683,-1.8484449747102395e-05,2.0169757056447164,0.9965765789701256,0.9978484037280297,0.9973494487610782,0.40000074041709505,0.08021408587276886,True,0.0014710467210240588,0.20052649582883125,0.2005302025192825,0.009021250007208437
B,100,density_particle_oracle_deterministic,density_particle_oracle,5000,0,kde,1.0,0.010101010101010102,True,,,0.006223850841249561,0.008480228529540152,0.003193302181472122,0.00972544361641603,0.002922569116175281,0.000626839404533213,-1.848445116110865e-05,1.9779999785436677,0.9889999892718339,0.9902621448336499,0.9902374974798395,0.400000002526666,0.08078879014093036,True,0.00010589897102042381,0.2005264958285477,0.2005302025192825,0.014367124997079372
B,100,density_particle_oracle_deterministic,density_particle_oracle,5000,0,kde,2.0,0.020202020202020204,True,,,0.019789962556521427,0.028108497935161507,0.01058449397461263,0.03207695809237798,0.0075356578384696525,0.002117475342864115,-1.8484477989026057e-05,1.9332969486053404,0.9666484747958719,0.9678821054955881,0.9678034766708739,0.40000000434585825,0.08266152857105548,True,4.162611658103575e-05,0.2005264958231679,0.2005302025192825,0.013241250009741634
B,100,density_particle_oracle_deterministic,density_particle_oracle,5000,0,kde,4.0,0.04040404040404041,True,,,0.069205159393135,0.09676496053170809,0.036437668923613664,0.10838473439029073,0.02433302051755279,0.007781968868259412,-1.9802408734154122e-05,1.780661881202425,0.8903406984979592,0.891476945693824,0.8912416058256238,0.40000003823738395,0.0897626847279442,True,1.802562467874322e-05,0.20052623153824867,0.2005302025192825,0.012558916991110891
B,100,density_particle_oracle_deterministic,density_particle_oracle,10000,0,histogram,,,True,,,0.0031772871685106464,0.004297245529937131,0.001618164354565298,0.005681604979142163,0.00146627318857366,0.0001656070674693893,-1.8484449747102395e-05,1.997123582557662,0.9945913666614201,0.9958606579038702,0.997471608693377,0.39999361301479425,0.08020085349317409,True,0.0013864253778708467,0.20052649582883125,0.2005302025192825,0.01492370804771781
B,100,density_particle_oracle_deterministic,density_particle_oracle,10000,0,kde,1.0,0.010101010101010102,True,,,0.006214501665582915,0.00847612464626011,0.0031917568293173986,0.009725447224776862,0.0029216063649860104,0.0006257450147120543,-1.8484450228495678e-05,1.977999971326946,0.988999985663473,0.9902621412206841,0.9902379158866933,0.40000000762787286,0.08078871843089407,True,5.065566684502335e-05,0.20052649582873472,0.2005302025192825,0.021302874956745654
