test,n_grid,n_particles,score_method,bandwidth_factor,epsilon,step,score_L2_error_vs_oracle,score_core_L2_error_vs_oracle,score_Linf_error_vs_oracle,score_core_Linf_error_vs_oracle,max_abs_score,mean_abs_score,score_std,n_denom_below_eps,n_clipped,mass,epsilon_actual
B,400,5000,oracle,4.0,0.0,0,0.0,0.0,0.0,0.0,38.3641003932607,,10.312590082473111,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,1,0.0,0.0,0.0,0.0,38.405000287070145,,10.323584314970422,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,2,0.0,0.0,0.0,0.0,38.44603127028283,,10.334613785392396,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,3,0.0,0.0,0.0,0.0,38.48719404466215,,10.345678682378896,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,4,0.0,0.0,0.0,0.0,38.528489317242254,,10.3567791959866,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,5,0.0,0.0,0.0,0.0,38.56991780037907,,10.367915517702716,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,6,0.0,0.0,0.0,0.0,38.61148021180189,,10.37908784045886,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,7,0.0,0.0,0.0,0.0,38.65317727466561,,10.390296358645099,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,8,0.0,0.0,0.0,0.0,38.69500971760356,,10.401541268124154,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,9,0.0,0.0,0.0,0.0,38.73697827478101,,10.412822766245766,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,10,0.0,0.0,0.0,0.0,38.77908368594925,,10.424141051861248,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,11,0.0,0.0,0.0,0.0,38.82132669650039,,10.435496325338221,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,12,0.0,0.0,0.0,0.0,38.86370805752277,,10.44688878857549,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,13,0.0,0.0,0.0,0.0,38.90622852585704,,10.458318645018132,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,14,0.0,0.0,0.0,0.0,38.948888864152934,,10.469786099672758,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,15,0.0,0.0,0.0,0.0,38.991689840926725,,10.481291359122947,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,16,0.0,0.0,0.0,0.0,39.03463223061937,,10.492834631544888,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,17,0.0,0.0,0.0,0.0,39.077716813655385,,10.504416126723195,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,18,0.0,0.0,0.0,0.0,39.12094437650236,,10.516036056066916,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,19,0.0,0.0,0.0,0.0,39.16431571173129,,10.527694632625748,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,20,0.0,0.0,0.0,0.0,39.20783161807766,,10.539392071106441,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,21,0.0,0.0,0.0,0.0,39.25149290050314,,10.551128587889412,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,22,0.0,0.0,0.0,0.0,39.295300370258154,,10.562904401045538,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,23,0.0,0.0,0.0,0.0,39.33925484494525,,10.574719730353195,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,24,0.0,0.0,0.0,0.0,39.38335714858307,,10.586574797315475,0.0,0.0,,0.0
B,400,5000,oracle,4.0,0.0,25,0.0,0.0,0.0,0.0,39.427608111671375,,10.598469825177629,0.0,0.0,,0.0
