method,completed,failure_step,failure_msg,relative_l2,l2_error,linf_error,forward_consistency_l2,mass_candidate,mass_true,mass_rel_error,total_variation,wasserstein,runtime_seconds,case,beta,ic_type,alpha0
variable_oracle_deterministic,True,,,0.00827587136406931,0.0031163497526516043,0.009506475866049025,0.005289138978260743,0.2005302043662821,0.20053020436628352,7.058958329347207e-15,0.004964486266273661,0.000617628347004144,0.13046416698489338,VB_beta05,0.5,gaussian,0.01
variable_estimated_smoothed_log_bw4,True,,,0.012703639145423546,0.004783663371146177,0.014351485624000015,0.008062134029152785,0.20053020436557673,0.20053020436628352,3.524634781506404e-12,0.004955406159958802,0.0009570149271905878,3.3397549579967745,VB_beta05,0.5,gaussian,0.01
variable_estimated_smoothed_log_bw6,True,,,0.02696429891988241,0.010153636103411011,0.03075088824548633,0.01742171954372762,0.2005302043658661,0.20053020436628352,2.0815622414716204e-12,0.004857997983302947,0.0020505568253637516,3.3328571249730885,VB_beta05,0.5,gaussian,0.01
variable_estimated_fd_grid_ratio_bw4,True,,,0.05684762419873306,0.02140645641010104,0.10847076785157067,0.0068684361416045964,0.20052984339819374,0.20053020436628352,1.8000684281978607e-06,0.006221550112039255,0.001005605421626906,3.198602167016361,VB_beta05,0.5,gaussian,0.01
varcoeff_tikhonov_best,True,,,3.4883485994036725e-06,1.3135673352913128e-06,6.413873800070746e-06,,0.20053020461108323,0.20053020436628352,1.2207622739715948e-09,0.005012118243655389,1.494842086467741e-08,0.3319244169979356,VB_beta05,0.5,gaussian,0.01
variable_oracle_deterministic,True,,,0.008383476169469377,0.0031568692573588084,0.00961332124067793,0.005134131648713795,0.20053020436628327,0.20053020436628352,1.2456985287083306e-15,0.0049639507004860485,0.000626820864193682,0.05055633303709328,VB_beta09,0.9,gaussian,0.01
variable_estimated_smoothed_log_bw4,True,,,0.014522889694591477,0.005468717639090124,0.016043657399906493,0.007950401336766852,0.20053020436541297,0.20053020436628352,4.341259372548532e-12,0.005001565473937849,0.001005832194762711,3.604401834018063,VB_beta09,0.9,gaussian,0.01
variable_estimated_smoothed_log_bw6,True,,,0.0276650036585125,0.010417492432593727,0.03138261573929668,0.017189308216792275,0.20053020436608615,0.20053020436628352,9.842402486272154e-13,0.0048548407628088664,0.0021204215631141607,3.5239444579929113,VB_beta09,0.9,gaussian,0.01
variable_estimated_fd_grid_ratio_bw4,True,,,0.1468782503607389,0.05530825444784616,0.2701503168534846,0.009148337063476186,0.2005301706420158,0.20053020436628352,1.6817550163243485e-07,0.009028208866127587,0.0015727609792683854,3.1790488329716027,VB_beta09,0.9,gaussian,0.01
varcoeff_tikhonov_best,True,,,7.82653355603003e-06,2.9471477791869413e-06,8.78444620522334e-06,,0.20053020552002618,0.20053020436628352,5.75346073482297e-09,0.005012160160486534,1.3041531254158473e-07,0.308882542012725,VB_beta09,0.9,gaussian,0.01
variable_oracle_deterministic,True,,,0.020111708880017978,0.006381729618898459,0.025010023683353602,0.007183766806026258,0.2338352875622346,0.2342370862288057,0.0017153503445591475,0.005385112481278094,0.0008932313811634766,0.049464625015389174,VH_beta05,0.5,mixture,0.01
variable_estimated_smoothed_log_bw4,True,,,0.07937821355571416,0.025187829615366596,0.08408355122756427,0.01325425494968905,0.23423661163187537,0.2342370862288057,2.02613914807328e-06,0.0074388205351372865,0.0016965097550009902,3.2123690840089694,VH_beta05,0.5,mixture,0.01
variable_estimated_smoothed_log_bw6,True,,,0.08697804050058557,0.027599362170950457,0.0776194310698265,0.026184674514796117,0.23422630003516193,0.2342370862288057,4.604818911230913e-05,0.005623869433610599,0.0028677344917859334,3.295721833012067,VH_beta05,0.5,mixture,0.01
variable_estimated_fd_grid_ratio_bw4,True,,,0.09174406609103537,0.0291116894851759,0.10947385068059175,0.009928882916567456,0.2342231423914831,0.2342370862288057,5.9528734527528567e-05,0.00896604080823329,0.0013160949229145237,3.2666615830385126,VH_beta05,0.5,mixture,0.01
varcoeff_tikhonov_best,True,,,0.005445068407602757,0.0017277972021687157,0.023976153048034975,,0.2342370862287953,0.2342370862288057,4.4435068004960776e-14,0.005578220126920891,8.858739303504906e-05,0.3138596670469269,VH_beta05,0.5,mixture,0.01
variable_oracle_deterministic,True,,,0.0203802076740984,0.006466928082989393,0.025011305073189605,0.006846239324206464,0.23383532218667852,0.2342370862288057,0.0017152025266175886,0.005383133415939319,0.0009020345551949491,0.05248000001301989,VH_beta09,0.9,mixture,0.01
variable_estimated_smoothed_log_bw4,True,,,0.08768663909518162,0.027824210525012327,0.0842103622512665,0.012212257009244528,0.23423656627466347,0.2342370862288057,2.219777195033586e-06,0.007706077975055654,0.0017797399861018066,3.42079704196658,VH_beta09,0.9,mixture,0.01
variable_estimated_smoothed_log_bw6,True,,,0.08967404667228611,0.028454843052327407,0.07945021648604489,0.02436777407960367,0.23422437976780697,0.2342370862288057,5.424615377228766e-05,0.0056450914286601305,0.002927098880321912,3.4689855839824304,VH_beta09,0.9,mixture,0.01
variable_estimated_fd_grid_ratio_bw4,True,,,0.2508406053948517,0.07959527112393816,0.41624967556619397,0.013002950535410687,0.23422332218852682,0.2342370862288057,5.876114880222635e-05,0.013726172365064147,0.0019802538134019504,3.4196243340265937,VH_beta09,0.9,mixture,0.01
varcoeff_tikhonov_best,True,,,0.005504144818200962,0.0017465429826263549,0.024137965911924363,,0.23423708622916517,0.2342370862288057,1.5346095086193254e-12,0.00557894530108527,8.96613883337897e-05,0.2885598329594359,VH_beta09,0.9,mixture,0.01
