study,case,h,eps_rel,eta,status,censored,failure_step,failure_message,B0,B1,E2,K_modes,K_tightened,Linf_rel,delta_nom,delta_real,eps_abs,forward_residual,gate_eps_floor,gate_tightened,mass_change_rel,mass_error_rel,mass_reconstruction,max_abs_score,min_raw_density,min_reconstruction,min_regularized_denominator,negative_fraction,negative_mass_removed,tightened_max_change,tv_reconstruction,tv_reference
bandwidth_clean,C1,0.005,1e-08,0.0,completed,False,,,1.5165968367298789e-13,2.474784898413212e-10,0.6103465865726054,511,547,1.5223470542670996,nan,nan,1e-08,0.08107032150284703,True,True,nan,2.220446049250313e-16,1.0000000000000002,295.9755706620701,0.2547046759773083,0.025603948969163626,0.2547046859773083,nan,nan,8.327010138228545e-13,135.01125202538282,2.9999151839096183
bandwidth_clean,C1,0.007,1e-08,0.0,completed,False,,,1.0544576542023019e-13,1.229522131188239e-10,0.643154650260973,365,391,1.4202412321651923,nan,nan,1e-08,0.07776382724266712,True,True,nan,6.661338147750939e-16,1.0000000000000007,211.7540757623457,0.2349057657183512,0.003855226868315742,0.2349057757183512,nan,nan,3.413651654252702e-11,98.86009745425795,2.9999151839096183
bandwidth_clean,C1,0.01,1e-08,0.0,completed,False,,,8.0548911221889e-14,6.56596761882447e-11,0.5682527019741203,255,273,1.0401704974595174,nan,nan,1e-08,0.06961706471459103,True,True,nan,6.661338147750939e-16,1.0000000000000007,148.05241619034106,0.1834005661613305,0.01689442425093124,0.1834005761613305,nan,nan,1.1290141238037777e-11,66.56282761230592,2.9999151839096183
bandwidth_clean,C1,0.014,1e-08,0.0,completed,False,,,5.731793965352897e-14,3.3375301724555856e-11,0.6365325146762892,182,195,1.2299320567827692,nan,nan,1e-08,0.0535973584463791,True,True,nan,2.220446049250313e-16,1.0000000000000002,106.85848108657297,0.2340736577051159,0.027267689408184692,0.2340736677051159,nan,nan,8.851892631259946e-11,50.56296065141939,2.9999151839096183
bandwidth_clean,C1,0.02,1e-08,0.0,completed,False,,,4.527748955587053e-14,1.8422419227263928e-11,0.37813172575664533,127,136,0.4642905021683321,nan,nan,1e-08,0.00940300062450022,True,True,nan,2.220446049250313e-16,1.0000000000000002,69.96661013242131,0.20030635448805534,0.13371204098760903,0.20030636448805533,nan,nan,1.0944381604434711e-14,24.939648378331515,2.9999151839096183
bandwidth_clean,C1,0.028,1e-08,0.0,completed,False,,,2.3493682586632454e-14,6.8608788925881825e-12,0.02525093449851037,91,98,0.04214265474814915,nan,nan,1e-08,0.009280501703243968,True,True,nan,4.440892098500626e-16,1.0000000000000004,5.3299676374946845,0.5634184432806449,0.5631877761745436,0.563418453280645,nan,nan,2.0327994111885198e-16,2.7345327614854336,2.9999151839096183
bandwidth_clean,C1,0.04,1e-08,0.0,completed,False,,,2.819778764045183e-14,5.719573996132623e-12,0.04354201080371066,63,68,0.05607711097615549,nan,nan,1e-08,0.01808391734222744,True,True,nan,4.440892098500626e-16,1.0000000000000004,4.476349158456673,0.5844039219862414,0.5841193055788925,0.5844039319862414,nan,nan,2.2450214550582995e-16,2.5982372834228897,2.9999151839096183
bandwidth_clean,C2,0.005,1e-08,0.0,completed,False,,,1.5165968367298789e-13,2.474784898413212e-10,0.7552459758236816,511,547,2.1189978905020435,nan,nan,1e-08,0.035545154791466554,True,True,nan,2.220446049250313e-16,1.0000000000000002,310.77337271348307,0.21837707108209736,0.01144993182263676,0.21837708108209736,nan,nan,2.0999973292087758e-11,143.81998935143753,0.9999866341975909
bandwidth_clean,C2,0.007,1e-08,0.0,completed,False,,,1.0544576542023019e-13,1.229522131188239e-10,0.676431302750148,365,391,1.5400393001550654,nan,nan,1e-08,0.033301684486767895,True,True,nan,4.440892098500626e-16,1.0000000000000004,194.94804798232454,0.2570870530067567,0.023276406935477167,0.2570870630067567,nan,nan,1.2123434096285706e-11,98.74603579921555,0.9999866341975909
bandwidth_clean,C2,0.01,1e-08,0.0,completed,False,,,8.0548911221889e-14,6.56596761882447e-11,0.6213677223074628,255,273,1.3794968891361004,nan,nan,1e-08,0.02796388228461248,True,True,nan,6.661338147750939e-16,1.0000000000000007,155.64338462240536,0.30921320738361746,0.04518326787235194,0.30921321738361746,nan,nan,8.326869107513593e-13,68.04408517450484,0.9999866341975909
bandwidth_clean,C2,0.014,1e-08,0.0,completed,False,,,5.731793965352897e-14,3.3375301724555856e-11,0.5535550940539022,182,195,0.8921762145226139,nan,nan,1e-08,0.01866649242900169,True,True,nan,2.220446049250313e-16,1.0000000000000002,99.13178395840912,0.23291043811805523,0.05610191829529798,0.23291044811805522,nan,nan,6.319011113348284e-11,48.01813714266481,0.9999866341975909
