study,block,case,closure,M,dt,kind,h,status,censored,failure_step,failure_message,bridge_dist_q,bridge_dist_u,max_cfl,min_u,q_diff_ref,speed_bound,split_max_abs_q,split_rel_u,u_diff_ref
closure,carrier,G1,frozen_left,200,0.002,none,none,completed,False,,,nan,nan,nan,1.0940098879417808,0.1624981214615456,nan,nan,nan,0.0011744229908876183
closure,carrier,G1,frozen_left,400,0.001,none,none,completed,False,,,nan,nan,nan,1.0939889301706862,0.14895704446583244,nan,nan,nan,0.0006791895458277453
closure,carrier,G1,frozen_left,800,0.0005,none,none,completed,False,,,nan,nan,nan,1.0939836907026628,0.14234677397512693,nan,nan,nan,0.0003620080674548877
closure,split_invariance,G1,frozen_left,none,none,none,none,completed,False,,,nan,nan,nan,1.0939889301706862,nan,nan,3.552713678800501e-15,7.182420287263008e-15,nan
closure,reference,G1,frozen_left,1600,0.00025,regularized,none,completed,False,,,nan,nan,0.01914542622602853,1.093983254079661,nan,0.04786356556507132,nan,nan,nan
closure,reference,G1,frozen_left,3200,0.000125,regularized,none,completed,False,,,nan,nan,0.01914544011684896,1.0939822716783245,nan,0.0478636002921224,nan,nan,nan
closure,reference,G1,frozen_left,1600,0.00025,unregularized,none,completed,False,,,nan,nan,0.012770929327387876,1.093983254079661,nan,0.03192732331846969,nan,nan,nan
closure,reference,G1,frozen_left,3200,0.000125,unregularized,none,completed,False,,,nan,nan,0.012770928875665237,1.0939822716783245,nan,0.03192732218916309,nan,nan,nan
closure,carrier,G1,mass,200,0.002,none,none,completed,False,,,nan,nan,nan,1.0940098879417808,0.16293302375856972,nan,nan,nan,0.0011583363088493973
closure,carrier,G1,mass,400,0.001,none,none,completed,False,,,nan,nan,nan,1.0939889301706862,0.14961248768723623,nan,nan,nan,0.0006438970261224849
closure,carrier,G1,mass,800,0.0005,none,none,completed,False,,,nan,nan,nan,1.0939836907026628,0.1429847507811197,nan,nan,nan,0.00036805569952446174
closure,split_invariance,G1,mass,none,none,none,none,completed,False,,,nan,nan,nan,1.0939889301706862,nan,nan,5.329070518200751e-15,6.903032459177173e-15,nan
closure,reference,G1,mass,1600,0.00025,regularized,none,completed,False,,,nan,nan,0.019145431483910746,1.0939828174568698,nan,0.047863578709776866,nan,nan,nan
closure,reference,G1,mass,3200,0.000125,regularized,none,completed,False,,,nan,nan,0.019145441430993757,1.0939821625225792,nan,0.04786360357748439,nan,nan,nan
closure,reference,G1,mass,1600,0.00025,unregularized,none,completed,False,,,nan,nan,0.012770926864145535,1.0939828174568698,nan,0.03192731716036384,nan,nan,nan
closure,reference,G1,mass,3200,0.000125,unregularized,none,completed,False,,,nan,nan,0.01277092963780275,1.0939821625225792,nan,0.031927324094506875,nan,nan,nan
closure,h_bridge,G1,frozen_left,1600,0.00025,none,0.02,completed,False,,,0.00013320867705730963,2.9474613134390006e-05,0.019134049575525218,1.093983254079661,nan,0.04783512393881305,nan,nan,nan
closure,h_bridge,G1,frozen_left,3200,0.000125,none,0.02,completed,False,,,0.00011717721713398495,2.891626380991878e-05,0.019134065714870738,1.0939822716783245,nan,0.047835164287176844,nan,nan,nan
closure,h_bridge,G1,frozen_left,1600,0.00025,none,0.014,completed,False,,,8.55463732844842e-05,1.4870747125688812e-05,0.01914542622602853,1.093983254079661,nan,0.04786356556507132,nan,nan,nan
closure,h_bridge,G1,frozen_left,3200,0.000125,none,0.014,completed,False,,,5.750800424588794e-05,1.4306737785569102e-05,0.01914544011684896,1.0939822716783245,nan,0.0478636002921224,nan,nan,nan
closure,h_bridge,G1,frozen_left,1600,0.00025,none,0.01,completed,False,,,6.980375383250744e-05,7.997983279946809e-06,0.019150789283940296,1.093983254079661,nan,0.04787697320985074,nan,nan,nan
closure,h_bridge,G1,frozen_left,3200,0.000125,none,0.01,completed,False,,,2.9385040682666997e-05,7.424309662386672e-06,0.01915080033672603,1.0939822716783245,nan,0.04787700084181508,nan,nan,nan
closure,h_bridge,G1,frozen_left,1600,0.00025,none,0.007,completed,False,,,6.49282775526734e-05,4.358512031066307e-06,0.019153639975678288,1.093983254079661,nan,0.047884099939195714,nan,nan,nan
closure,h_bridge,G1,frozen_left,3200,0.000125,none,0.007,completed,False,,,1.4444768865849532e-05,3.7675658098829794e-06,0.0191536496651356,1.0939822716783245,nan,0.047884124162839006,nan,nan,nan
closure,h_bridge,G1,mass,1600,0.00025,none,0.02,completed,False,,,0.00013154969894500768,1.7142797050874872e-05,0.019134054372638765,1.0939828174568698,nan,0.04783513593159691,nan,nan,nan
closure,h_bridge,G1,mass,3200,0.000125,none,0.02,completed,False,,,0.00011550669060378634,1.713463156234793e-05,0.019134067027241144,1.0939821625225792,nan,0.04783516756810286,nan,nan,nan
closure,h_bridge,G1,mass,1600,0.00025,none,0.014,completed,False,,,8.471508901743164e-05,8.414861344742675e-06,0.019145431483910746,1.0939828174568698,nan,0.047863578709776866,nan,nan,nan
closure,h_bridge,G1,mass,3200,0.000125,none,0.014,completed,False,,,5.6680178648701185e-05,8.406241033571156e-06,0.019145441430993757,1.0939821625225792,nan,0.04786360357748439,nan,nan,nan
closure,h_bridge,G1,mass,1600,0.00025,none,0.01,completed,False,,,6.929735428721447e-05,4.301884439175471e-06,0.01915079454393833,1.0939828174568698,nan,0.04787698635984583,nan,nan,nan
closure,h_bridge,G1,mass,3200,0.000125,none,0.01,completed,False,,,2.8954661200856376e-05,4.292428679008762e-06,0.01915080165139927,1.0939821625225792,nan,0.04787700412849818,nan,nan,nan
closure,h_bridge,G1,mass,1600,0.00025,none,0.007,completed,False,,,6.453653385014135e-05,2.1166020286013133e-06,0.01915364523680112,1.0939828174568698,nan,0.0478841130920028,nan,nan,nan
closure,h_bridge,G1,mass,3200,0.000125,none,0.007,completed,False,,,1.4225000069895987e-05,2.1053889505480334e-06,0.01915365083423526,1.0939821625225792,nan,0.047884127085588146,nan,nan,nan
closure,carrier,G2,frozen_left,200,0.002,none,none,completed,False,,,nan,nan,nan,0.7434197923319893,0.19648566747263058,nan,nan,nan,0.0011285021512930015
closure,carrier,G2,frozen_left,400,0.001,none,none,completed,False,,,nan,nan,nan,0.7434140445243146,0.17846981508921908,nan,nan,nan,0.0006467513774037012
closure,carrier,G2,frozen_left,800,0.0005,none,none,completed,False,,,nan,nan,nan,0.743412895790549,0.1693223586844613,nan,nan,nan,0.0003861538835597849
closure,split_invariance,G2,frozen_left,none,none,none,none,completed,False,,,nan,nan,nan,0.7434140445243146,nan,nan,3.552713678800501e-15,6.154865280808624e-15,nan
closure,reference,G2,frozen_left,1600,0.00025,regularized,none,completed,False,,,nan,nan,0.01897488808782843,0.7434133268536952,nan,0.04743722021957107,nan,nan,nan
closure,reference,G2,frozen_left,3200,0.000125,regularized,none,completed,False,,,nan,nan,0.018974940942213893,0.7434129281638651,nan,0.04743735235553473,nan,nan,nan
closure,reference,G2,frozen_left,1600,0.00025,unregularized,none,completed,False,,,nan,nan,0.012660628296058327,0.7434133268536952,nan,0.03165157074014582,nan,nan,nan
closure,reference,G2,frozen_left,3200,0.000125,unregularized,none,completed,False,,,nan,nan,0.012660625985715787,0.7434129281638651,nan,0.03165156496428947,nan,nan,nan
closure,carrier,G2,mass,200,0.002,none,none,completed,False,,,nan,nan,nan,0.7434197923319893,0.19720433773347443,nan,nan,nan,0.0011184396917072793
closure,carrier,G2,mass,400,0.001,none,none,completed,False,,,nan,nan,nan,0.7434140445243146,0.17913484998862028,nan,nan,nan,0.0006262832531938928
closure,carrier,G2,mass,800,0.0005,none,none,completed,False,,,nan,nan,nan,0.743412895790549,0.16991120534535448,nan,nan,nan,0.00038611107913110235
closure,split_invariance,G2,mass,none,none,none,none,completed,False,,,nan,nan,nan,0.7434140445243146,nan,nan,3.552713678800501e-15,4.127653046845149e-15,nan
closure,reference,G2,mass,1600,0.00025,regularized,none,completed,False,,,nan,nan,0.018973698487615046,0.7434128924242785,nan,0.047434246219037614,nan,nan,nan
closure,reference,G2,mass,3200,0.000125,regularized,none,completed,False,,,nan,nan,0.018973715284113287,0.7434128195563825,nan,0.04743428821028322,nan,nan,nan
closure,reference,G2,mass,1600,0.00025,unregularized,none,completed,False,,,nan,nan,0.01266062756680143,0.7434128924242785,nan,0.031651568917003575,nan,nan,nan
closure,reference,G2,mass,3200,0.000125,unregularized,none,completed,False,,,nan,nan,0.012660625644239764,0.7434128195563825,nan,0.03165156411059941,nan,nan,nan
closure,h_bridge,G2,frozen_left,1600,0.00025,none,0.02,completed,False,,,0.0004002997706112367,6.073271407757901e-05,0.01895829415234701,0.7434133268536952,nan,0.04739573538086753,nan,nan,nan
closure,h_bridge,G2,frozen_left,3200,0.000125,none,0.02,completed,False,,,0.0003894166116075352,5.98062126184455e-05,0.018958353254377388,0.7434129281638651,nan,0.047395883135943465,nan,nan,nan
closure,h_bridge,G2,frozen_left,1600,0.00025,none,0.014,completed,False,,,0.00021230832709473053,3.0514863676215587e-05,0.01897488808782843,0.7434133268536952,nan,0.04743722021957107,nan,nan,nan
closure,h_bridge,G2,frozen_left,3200,0.000125,none,0.014,completed,False,,,0.00019131309025313125,2.956912690887032e-05,0.018974940942213893,0.7434129281638651,nan,0.04743735235553473,nan,nan,nan
closure,h_bridge,G2,frozen_left,1600,0.00025,none,0.01,completed,False,,,0.00013408254493938972,1.6282279619554962e-05,0.01898271237376717,0.7434133268536952,nan,0.04745678093441792,nan,nan,nan
closure,h_bridge,G2,frozen_left,3200,0.000125,none,0.01,completed,False,,,9.77619469156596e-05,1.530348527090177e-05,0.018982762216136487,0.7434129281638651,nan,0.04745690554034122,nan,nan,nan
closure,h_bridge,G2,frozen_left,1600,0.00025,none,0.007,completed,False,,,0.00010345059969906578,8.75965825041767e-06,0.018986872952891806,0.7434133268536952,nan,0.047467182382229516,nan,nan,nan
closure,h_bridge,G2,frozen_left,3200,0.000125,none,0.007,completed,False,,,4.797907472486407e-05,7.720417902218451e-06,0.018986921174246774,0.7434129281638651,nan,0.047467302935616934,nan,nan,nan
closure,h_bridge,G2,mass,1600,0.00025,none,0.02,completed,False,,,0.00039735962338727514,4.59418899497411e-05,0.018955846176694865,0.7434128924242785,nan,0.04738961544173716,nan,nan,nan
closure,h_bridge,G2,mass,3200,0.000125,none,0.02,completed,False,,,0.0003865421639785216,4.591291648621575e-05,0.01895586836832043,0.7434128195563825,nan,0.047389670920801076,nan,nan,nan
closure,h_bridge,G2,mass,1600,0.00025,none,0.014,completed,False,,,0.00021080825368918882,2.257717565428457e-05,0.018973698487615046,0.7434128924242785,nan,0.047434246219037614,nan,nan,nan
