study,case,eta,seed,arm,selection,tau,status,censored,failure_step,failure_message,E2_at_selection,E2_tikhonov_projected,E2_tikhonov_raw,coarse_winner_z,delta_nom,delta_real,evaluations,lambda_selected,residual_at_selection,selection_label,target_residual,z_selected
lambda_noise,C1,0.001,0,R,oracle_continuous,none,completed,False,,,0.0013077737938025939,0.0012675819022466208,0.0013077737938025939,-3.578125,0.001193298982343257,0.001251015160802076,76,0.00023503712738827032,0.001272164814263084,oracle_continuous,nan,-3.6288635294462908
lambda_noise,C1,0.001,0,R,residual,1.2,completed,False,,,0.0016758983656381837,0.0015506515756776766,0.0016758983656381837,nan,0.001193298982343257,0.001251015160802076,72,0.0005567906477093753,0.0014319589454032306,morozov,0.0014319587788119085,-3.2543080680855736
lambda_noise,C1,0.001,0,R,residual,1.0,completed,True,,,8.26674042514335,2.2499070165683253,8.26674042514335,nan,0.001193298982343257,0.001251015160802076,66,1e-12,0.001232797888970504,endpoint,0.001193298982343257,-12.0
lambda_noise,C1,0.001,0,P,oracle_continuous,none,completed,False,,,0.0013077737938025939,0.0012675819022466208,0.0013077737938025939,-3.578125,0.001193298982343257,0.001251015160802076,76,0.00023503712738827032,0.001272164814263084,oracle_continuous,nan,-3.6288635294462908
lambda_noise,C1,0.001,0,P,residual,1.2,completed,False,,,0.0016758983656381837,0.0015506515756776766,0.0016758983656381837,nan,0.001193298982343257,0.001251015160802076,72,0.0005567906477093753,0.0014319589454032306,morozov,0.0014319587788119085,-3.2543080680855736
lambda_noise,C1,0.001,0,P,residual,1.0,completed,True,,,8.26674042514335,2.2499070165683253,8.26674042514335,nan,0.001193298982343257,0.001251015160802076,66,1e-12,0.001232797888970504,endpoint,0.001193298982343257,-12.0
lambda_noise,C1,0.001,1,R,oracle_continuous,none,completed,False,,,0.00124880544824665,0.0012172980649155381,0.00124880544824665,-3.578125,0.0011931599437888468,0.0011618301521510895,76,0.00027033829399935417,0.001206981478639228,oracle_continuous,nan,-3.568092431198594
lambda_noise,C1,0.001,1,R,residual,1.2,completed,False,,,0.0016870060302494564,0.0015619904535353793,0.0016870060302494564,nan,0.0011931599437888468,0.0011618301521510895,73,0.0006503490242363031,0.0014317919288717698,morozov,0.001431791932546616,-3.1868535070211426
lambda_noise,C1,0.001,1,R,residual,1.0,completed,False,,,0.0012596164593454567,0.0012361623173162294,0.0012596164593454567,nan,0.0011931599437888468,0.0011618301521510895,73,0.00023146063297653787,0.0011931599363249887,morozov,0.0011931599437888468,-3.635522863544094
lambda_noise,C1,0.001,1,P,oracle_continuous,none,completed,False,,,0.00124880544824665,0.0012172980649155381,0.00124880544824665,-3.578125,0.0011931599437888468,0.0011618301521510895,76,0.00027033829399935417,0.001206981478639228,oracle_continuous,nan,-3.568092431198594
lambda_noise,C1,0.001,1,P,residual,1.2,completed,False,,,0.0016870060302494564,0.0015619904535353793,0.0016870060302494564,nan,0.0011931599437888468,0.0011618301521510895,73,0.0006503490242363031,0.0014317919288717698,morozov,0.001431791932546616,-3.1868535070211426
lambda_noise,C1,0.001,1,P,residual,1.0,completed,False,,,0.0012596164593454567,0.0012361623173162294,0.0012596164593454567,nan,0.0011931599437888468,0.0011618301521510895,73,0.00023146063297653787,0.0011931599363249887,morozov,0.0011931599437888468,-3.635522863544094
