h,n_particles,rel_error,mass_error,predicted_bias_floor,error_over_floor
0.02,500,0.006042262048264587,4.440892098500626e-16,0.005869471843067039,1.029438799574726
0.02,1000,0.006042248747860159,6.661338147750939e-16,0.005869471843067039,1.029436533543849
0.02,2000,0.00604222084671662,6.661338147750939e-16,0.005869471843067039,1.029431779940069
0.02,4000,0.006042235555350474,6.661338147750939e-16,0.005869471843067039,1.0294342858953318
0.02,8000,0.006042232779830493,4.440892098500626e-16,0.005869471843067039,1.029433813021442
0.01,500,0.0016544856575893576,4.440892098500626e-16,0.0014771579649745703,1.1200465331531688
0.01,1000,0.001654462230732285,6.661338147750939e-16,0.0014771579649745703,1.1200306737409544
0.01,2000,0.0016544347630551995,2.220446049250313e-16,0.0014771579649745703,1.1200120787919126
0.01,4000,0.0016544488894303102,6.661338147750939e-16,0.0014771579649745703,1.1200216420041387
0.01,8000,0.001654446129635536,6.661338147750939e-16,0.0014771579649745703,1.120019773690228
